,selling_price
525,385000
526,300000
527,335000
528,300000
529,400000
530,550000
531,350000
532,280000
533,550000
534,500000
535,380000
536,340000
537,160000
538,750000
539,531000
540,300000
541,350000
542,150000
543,450000
544,450000
545,360000
546,145000
547,540000
548,290000
549,300000
550,565000
551,441000
552,180000
553,200000
554,700000
555,275000
556,600000
557,250000
558,600000
559,200000
560,425000
561,420000
562,321000
563,350000
564,490000
565,680000
566,298000
567,450000
568,250000
569,1075000
570,500000
571,681000
572,650000
573,290000
574,220000
575,120000
576,229999
577,150000
578,500000
579,175000
580,720000
581,100000
582,250000
583,810000
584,165000
585,409999
586,430000
587,300000
588,350000
589,400000
590,420000
591,573000
592,210000
593,600000
594,150000
595,550000
596,320000
597,800000
598,500000
599,229999
600,630000
601,190000
602,450000
603,95000
604,101000
605,500000
606,1019999
607,244000
608,250000
609,660000
610,270000
611,280000
612,1050000
613,525000
614,850000
615,1165000
616,345000
617,95000
618,241000
619,235000
620,615000
621,350000
622,350000
623,380000
624,400000
625,220000
626,270000
627,275000
628,125000
629,360000
630,550000
631,200000
632,327000
633,425000
634,620000
635,130000
636,120000
637,400000
638,185000
639,204999
640,625000
641,600000
642,150000
643,229999
644,220000
645,576000
646,265000
647,300000
648,420000
649,750000
650,165000
651,290000
652,160000
653,695000
654,231000
655,1050000
656,400000
657,500000
658,150000
659,400000
660,120000
661,480000
662,200000
663,300000
664,350000
665,580000
666,200000
667,750000
668,261000
669,371000
670,204999
671,110000
672,150000
673,625000
674,180000
675,421000
676,900000
677,165000
678,270000
679,750000
680,750000
681,190000
682,800000
683,315000
684,409999
685,340000
686,270000
687,280000
688,130000
689,260000
690,710000
691,204999
692,300000
693,180000
694,700000
695,320000
696,370000
697,340000
698,750000
699,600000
700,550000
701,600000
702,550000
703,450000
704,400000
705,520000
706,199000
707,150000
708,540000
709,250000
710,200000
711,130000
712,90000
713,450000
714,280000
715,120000
716,290000
717,1000000
718,415000
719,415000
720,240000
721,250000
722,175000
723,220000
724,535000
725,800000
726,425000
727,150000
728,90000
729,850000
730,850000
731,910000
732,1100000
733,150000
734,550000
735,350000
736,300000
737,611000
738,400000
739,700000
740,300000
741,200000
742,650000
743,650000
744,350000
745,240000
746,240000
747,180000
748,900000
749,425000
750,95000
751,811000
752,1100000
753,600000
754,550000
755,715000
756,100000
757,350000
758,100000
759,325000
760,330000
761,480000
762,950000
763,300000
764,170000
765,850000
766,350000
767,425000
768,600000
769,750000
770,450000
771,325000
772,900000
773,600000
774,1100000
775,520000
776,950000
777,229999
778,409999
779,300000
780,175000
781,425000
782,310000
783,1125000
784,450000
785,388000
786,400000
787,760000
788,120000
789,757000
790,270000
791,250000
792,800000
793,700000
794,450000
795,950000
796,626000
797,600000
798,290000
799,215000
800,250000
801,750000
802,250000
803,950000
804,793000
805,750000
806,480000
807,795000
808,625000
809,625000
810,440000
811,844999
812,650000
813,750000
814,610000
815,1150000
816,890000
817,385000
818,400000
819,550000
820,310000
821,480000
822,90000
823,350000
824,600000
825,350000
826,770000
827,350000
828,600000
829,750000
830,340000
831,650000
832,300000
833,204999
834,254999
835,280000
836,100000
837,575000
838,780000
839,467000
840,1050000
841,225000
842,260000
843,90000
844,280000
845,350000
846,229999
847,550000
848,850000
849,370000
850,250000
851,95000
852,180000
853,650000
854,530000
855,610000
856,265000
857,560000
858,430000
859,711000
860,511000
861,325000
862,434999
863,210000
864,160000
865,650000
866,320000
867,290000
868,1100000
869,600000
870,340000
871,750000
872,100000
873,395000
874,200000
875,450000
876,180000
877,190000
878,310000
879,351000
880,190000
881,225000
882,130000
883,1000000
884,330000
885,166000
886,140000
887,370000
888,720000
889,500000
890,570000
891,120000
892,95000
893,196000
894,392000
895,150000
896,595000
897,833000
898,180000
899,225000
900,340000
901,400000
902,90000
903,650000
904,125000
905,170000
906,95000
907,880000
908,200000
909,480000
910,480000
911,850000
912,300000
913,220000
914,300000
915,450000
916,400000
917,1030000
918,190000
919,140000
920,800000
921,229999
922,300000
923,375000
924,140000
925,420000
926,300000
927,150000
928,600000
929,204999
930,625000
931,1050000
932,250000
933,535000
934,400000
935,610000
936,509999
937,521000
938,511000
939,451000
940,170000
941,450000
942,375000
943,305000
944,315000
945,250000
946,200000
947,400000
948,509999
949,375000
950,150000
951,465000
952,700000
953,950000
954,610000
955,235000
956,330000
957,472000
958,585000
959,500000
960,360000
961,649000
962,200000
963,400000
964,250000
965,250000
966,819999
967,800000
968,429000
969,150000
970,170000
971,360000
972,570000
973,350000
974,375000
975,450000
976,325000
977,260000
978,130000
979,150000
980,220000
981,275000
982,455000
983,570000
984,330000
985,450000
986,250000
987,165000
988,800000
989,525000
990,825000
991,750000
992,950000
993,950000
994,675000
995,490000
996,775000
997,350000
998,950000
999,350000
1000,400000
1001,850000
1002,175000
1003,570000
1004,525000
1005,270000
1006,434999
1007,495000
1008,575000
1009,700000
1010,560000
1011,250000
1012,409999
1013,495000
1014,470000
1015,350000
1016,480000
1017,270000
1018,660000
1019,490000
1020,800000
1021,350000
1022,170000
1023,125000
1024,400000
1025,250000
1026,125000
1027,786000
1028,335000
1029,114999
1030,229999
1031,731000
1032,395000
1033,500000
1034,220000
1035,240000
1036,215000
1037,400000
1038,191000
1039,351000
1040,250000
1041,210000
1042,300000
1043,700000
1044,500000
1045,120000
1046,850000
1047,770000
1048,245000
1049,250000
1050,651000
1051,480000
1052,470000
1053,500000
1054,1075000
1055,690000
1056,480000
1057,450000
1058,445000
1059,700000
1060,560000
1061,475000
1062,465000
1063,520000
1064,225000
1065,700000
1066,93150
1067,403000
1068,229999
1069,525000
1070,560000
1071,830000
1072,250000
1073,450000
1074,745000
1075,144000
1076,120000
1077,300000
1078,300000
1079,270000
1080,260000
1081,475000
1082,302000
1083,775000
1084,700000
1085,530000
1086,869999
1087,155000
1088,550000
1089,600000
1090,430000
1091,246000
1092,120000
1093,565000
1094,850000
1095,160000
1096,325000
1097,450000
1098,310000
1099,250000
1100,420000
1101,330000
1102,405000
1103,400000
1104,409999
1105,500000
1106,590000
1107,135000
1108,650000
1109,400000
1110,350000
1111,550000
1112,350000
1113,459999
1114,185000
1115,550000
1116,300000
1117,900000
1118,900000
1119,625000
1120,310000
1121,500000
1122,610000
1123,150000
1124,480000
1125,650000
1126,290000
1127,300000
1128,270000
1129,400000
1130,280000
1131,250000
1132,495000
1133,310000
1134,650000
1135,600000
1136,150000
1137,135000
1138,650000
1139,550000
1140,650000
1141,650000
1142,430000
1143,1143000
1144,700000
1145,229999
1146,509999
1147,670000
1148,515000
1149,300000
1150,250000
1151,90000
1152,750000
1153,135000
1154,275000
1155,740000
1156,675000
1157,950000
1158,850000
1159,550000
1160,925000
1161,625000
1162,200000
1163,635000
1164,425000
1165,220000
1166,590000
1167,775000
1168,350000
1169,575000
1170,200000
1171,600000
1172,720000
1173,158000
1174,580000
1175,420000
1176,350000
1177,650000
1178,400000
1179,700000
1180,520000
1181,450000
1182,850000
1183,350000
1184,450000
1185,165000
1186,160000
1187,300000
1188,550000
1189,285000
1190,900000
1191,180000
1192,220000
1193,120000
1194,220000
1195,420000
1196,160000
1197,250000
1198,385000
1199,318000
1200,480000
1201,330000
1202,152000
1203,250000
1204,248000
1205,300000
1206,550000
1207,650000
1208,445000
1209,600000
1210,220000
1211,260000
1212,150000
1213,200000
1214,250000
1215,600000
1216,560000
1217,500000
1218,270000
1219,420000
1220,434999
1221,400000
1222,470000
1223,480000
1224,105000
1225,325000
1226,170000
1227,600000
1228,650000
1229,105000
1230,200000
1231,220000
1232,500000
1233,175000
1234,210000
1235,270000
1236,110000
1237,480000
1238,650000
1239,480000
1240,700000
1241,650000
1242,1000000
1243,1080000
1244,170000
1245,610000
1246,350000
1247,260000
1248,700000
1249,678000
1250,800000
1251,400000
1252,300000
1253,520000
1254,850000
1255,830000
1256,850000
1257,650000
1258,120000
1259,730000
1260,525000
1261,600000
1262,500000
1263,150000
1264,409999
1265,625000
1266,290000
1267,500000
1268,475000
1269,190000
1270,750000
1271,525000
1272,495000
1273,321000
1274,585000
1275,225000
1276,500000
1277,350000
1278,756000
1279,240000
1280,320000
1281,509999
1282,650000
1283,210000
1284,110000
1285,665000
1286,555000
1287,560000
1288,375000
1289,605000
1290,720000
1291,800000
1292,625000
1293,350000
1294,600000
1295,300000
1296,240000
1297,377000
1298,450000
1299,160000
1300,525000
1301,270000
1302,570000
1303,225000
1304,590000
1305,800000
1306,450000
1307,300000
1308,645000
1309,520000
1310,200000
1311,700000
1312,459999
1313,325000
1314,350000
1315,440000
1316,320000
1317,169000
1318,350000
1319,350000
1320,310000
1321,685000
1322,560000
1323,470000
1324,380000
1325,670000
1326,749000
1327,899000
1328,290000
1329,350000
1330,500000
1331,400000
1332,260000
1333,220000
1334,190000
1335,400000
1336,170000
1337,300000
1338,125000
1339,170000
1340,310000
1341,130000
1342,465000
1343,800000
1344,260000
1345,500000
1346,325000
1347,400000
1348,200000
1349,450000
1350,229999
1351,340000
1352,550000
1353,975000
1354,225000
1355,280000
1356,259000
1357,416000
1358,250000
1359,210000
1360,290000
1361,220000
1362,246000
1363,260000
1364,1050000
1365,550000
1366,450000
1367,773000
1368,450000
1369,409999
1370,600000
1371,250000
1372,430000
1373,675000
1374,570000
1375,850000
1376,250000
1377,889000
1378,750000
1379,320000
1380,1000000
1381,110000
1382,250000
1383,600000
1384,165000
1385,118000
1386,700000
1387,585000
1388,120000
1389,150000
1390,150000
1391,250000
1392,100000
1393,599000
1394,250000
1395,570000
1396,440000
1397,300000
1398,500000
1399,660000
1400,256000
1401,409999
1402,250000
1403,280000
1404,300000
1405,900000
1406,190000
1407,450000
1408,400000
1409,150000
1410,200000
1411,175000
1412,215000
1413,520000
1414,285000
1415,660000
1416,515000
1417,295000
1418,700000
1419,1100000
1420,300000
1421,450000
1422,700000
1423,250000
1424,140000
1425,250000
1426,210000
1427,420000
1428,130000
1429,320000
1430,200000
1431,310000
1432,200000
1433,350000
1434,444000
1435,300000
1436,225000
1437,600000
1438,260000
1439,150000
1440,110000
1441,225000
1442,860000
1443,650000
1444,650000
1445,710000
1446,430000
1447,220000
1448,660000
1449,140000
1450,1100000
1451,625000
1452,198000
1453,130000
1454,540000
1455,550000
1456,475000
1457,910000
1458,950000
1459,365000
1460,900000
1461,919999
1462,1075000
1463,600000
1464,839000
1465,650000
1466,350000
1467,265000
1468,330000
1469,700000
1470,300000
1471,425000
1472,250000
1473,459999
1474,300000
1475,950000
1476,484999
1477,161000
1478,500000
1479,350000
1480,550000
1481,240000
1482,950000
1483,423000
1484,90000
1485,350000
1486,170000
1487,450000
1488,150000
1489,511000
1490,850000
1491,250000
1492,420000
1493,180000
1494,400000
1495,500000
1496,204999
1497,459999
1498,600000
1499,525000
1500,160000
1501,825000
1502,600000
1503,550000
1504,650000
1505,750000
1506,380000
1507,400000
1508,750000
1509,150000
1510,245000
1511,411000
1512,450000
1513,351000
1514,550000
1515,750000
1516,800000
1517,350000
1518,200000
1519,150000
1520,800000
1521,350000
1522,170000
1523,395000
1524,450000
1525,500000
1526,200000
1527,400000
1528,650000
1529,550000
1530,1100000
1531,254999
1532,180000
1533,225000
1534,270000
1535,310000
1536,225000
1537,300000
1538,250000
1539,180000
1540,550000
1541,300000
1542,900000
1543,590000
1544,170000
1545,475000
1546,700000
1547,376000
1548,440000
1549,390000
1550,325000
1551,170000
1552,215000
1553,350000
1554,195000
1555,335000
1556,475000
1557,484999
1558,650000
1559,700000
1560,900000
1561,350000
1562,285000
1563,750000
1564,600000
1565,565000
1566,86000
1567,329000
1568,650000
1569,822000
1570,345000
1571,330000
1572,300000
1573,200000
1574,90000
1575,200000
1576,550000
1577,250000
1578,975000
1579,900000
1580,610000
1581,620000
1582,400000
1583,500000
1584,200000
1585,360000
1586,252000
1587,280000
1588,509999
1589,1050000
1590,200000
1591,320000
1592,520000
1593,250000
1594,725000
1595,585000
1596,430000
1597,235000
1598,350000
1599,131000
1600,450000
1601,750000
1602,200000
1603,125000
1604,500000
1605,380000
1606,128000
1607,250000
1608,690000
1609,650000
1610,560000
1611,400000
1612,200000
1613,950000
1614,300000
1615,315000
1616,220000
1617,130000
1618,595000
1619,110000
1620,680000
1621,280000
1622,530000
1623,610000
1624,500000
1625,500000
1626,250000
1627,325000
1628,550000
1629,720000
1630,950000
1631,350000
1632,500000
1633,380000
1634,380000
1635,900000
1636,295000
1637,640000
1638,790000
1639,625000
1640,604000
1641,315000
1642,950000
1643,400000
1644,700000
1645,700000
1646,260000
1647,200000
1648,580000
1649,330000
1650,400000
1651,250000
1652,725000
1653,300000
1654,120000
1655,1175000
1656,380000
1657,400000
1658,140000
1659,229999
1660,110000
1661,550000
1662,150000
1663,265000
1664,300000
1665,280000
1666,130000
1667,350000
1668,200000
1669,550000
1670,400000
1671,170000
1672,600000
1673,130000
1674,100000
1675,310000
1676,200000
1677,650000
1678,210000
1679,509999
1680,229999
1681,130000
1682,95000
1683,225000
1684,775000
1685,420000
1686,480000
1687,600000
1688,140000
1689,130000
1690,195000
1691,210000
1692,130000
1693,141000
1694,280000
1695,350000
1696,575000
1697,550000
1698,120000
1699,320000
1700,250000
1701,300000
1702,250000
1703,750000
1704,300000
1705,229999
1706,500000
1707,900000
1708,650000
1709,650000
1710,250000
1711,550000
1712,250000
1713,350000
1714,185000
1715,229999
1716,1000000
1717,490000
1718,150000
1719,270000
1720,150000
1721,525000
1722,350000
1723,300000
1724,250000
1725,114999
1726,250000
1727,350000
1728,850000
1729,90000
1730,600000
1731,135000
1732,150000
1733,240000
1734,946000
1735,215000
1736,310000
1737,220000
1738,195000
1739,650000
1740,350000
1741,360000
1742,550000
1743,490000
1744,195000
1745,125000
1746,459999
1747,275000
1748,680000
1749,720000
1750,225000
1751,725000
1752,130000
1753,300000
1754,400000
1755,550000
1756,120000
1757,409999
1758,110000
1759,450000
1760,515000
1761,925000
1762,860000
1763,225000
1764,500000
1765,600000
1766,265000
1767,650000
1768,415000
1769,600000
1770,340000
1771,350000
1772,265000
1773,625000
1774,245000
1775,395000
1776,490000
1777,955000
1778,525000
1779,550000
1780,200000
1781,500000
1782,825000
1783,250000
1784,600000
1785,770000
1786,415000
1787,825000
1788,530000
1789,310000
1790,390000
1791,700000
1792,200000
1793,580000
1794,200000
1795,245000
1796,210000
1797,700000
1798,660000
1799,630000
1800,950000
1801,570000
1802,450000
1803,390000
1804,180000
1805,130000
1806,270000
1807,170000
1808,978999
1809,490000
1810,280000
1811,390000
1812,170000
1813,640000
1814,650000
1815,500000
1816,90000
1817,480000
1818,250000
1819,330000
1820,180000
1821,210000
1822,550000
1823,430000
1824,348000
1825,196000
1826,150000
1827,150000
1828,600000
1829,220000
1830,220000
1831,110000
1832,175000
1833,160000
1834,120000
1835,1000000
1836,220000
1837,114999
1838,850000
1839,750000
1840,265000
1841,450000
1842,225000
1843,1125000
1844,270000
1845,130000
1846,660000
1847,240000
1848,275000
1849,750000
1850,300000
1851,555000
1852,825000
1853,150000
1854,185000
1855,180000
1856,160000
1857,500000
1858,375000
1859,900000
1860,459999
1861,480000
1862,320000
1863,370000
1864,400000
1865,425000
1866,325000
1867,350000
1868,600000
1869,120000
1870,200000
1871,100000
1872,350000
1873,399000
1874,580000
1875,290000
1876,380000
1877,200000
1878,390000
1879,500000
1880,520000
1881,650000
1882,275000
1883,520000
1884,610000
1885,490000
1886,229999
1887,411000
1888,362000
1889,550000
1890,459999
1891,190000
1892,358000
1893,278000
1894,320000
1895,580000
1896,825000
1897,170000
1898,1050000
1899,210000
1900,320000
1901,400000
1902,320000
1903,600000
1904,275000
1905,170000
1906,155000
1907,620000
1908,530000
1909,550000
1910,600000
1911,649000
1912,625000
1913,125000
1914,285000
1915,600000
1916,426000
1917,180000
1918,400000
1919,120000
1920,300000
1921,190000
1922,310000
1923,380000
1924,740000
1925,260000
1926,320000
1927,211000
1928,650000
1929,651000
1930,380000
1931,160000
1932,405000
1933,850000
1934,680000
1935,426999
1936,1019999
1937,245000
1938,869999
1939,160000
1940,700000
1941,300000
1942,960000
1943,525000
1944,345000
1945,390000
1946,275000
1947,310000
1948,500000
1949,200000
1950,650000
1951,1031000
1952,330000
1953,250000
1954,600000
1955,375000
1956,375000
1957,445000
1958,611000
1959,459999
1960,275000
1961,390000
1962,90000
1963,500000
1964,200000
1965,511000
1966,150000
1967,185000
1968,550000
1969,525000
1970,1050000
1971,300000
1972,120000
1973,170000
1974,320000
1975,350000
1976,500000
1977,135000
1978,340000
1979,330000
1980,350000
1981,400000
1982,325000
1983,1000000
1984,350000
1985,550000
1986,925000
1987,509999
1988,250000
1989,500000
1990,1050000
1991,490000
1992,415000
1993,190000
1994,680000
1995,190000
1996,270000
1997,170000
1998,764000
1999,710000
2000,310000
2001,620000
2002,280000
2003,450000
2004,285000
2005,1100000
2006,350000
2007,600000
2008,570000
2009,325000
2010,975000
2011,480000
2012,185000
2013,1050000
2014,700000
2015,775000
2016,750000
2017,140000
2018,220000
2019,184000
2020,440000
2021,650000
2022,660000
2023,380000
2024,415000
2025,225000
2026,600000
2027,620000
2028,750000
2029,400000
2030,110000
2031,119000
2032,600000
2033,200000
2034,280000
2035,375000
2036,350000
2037,620000
2038,570000
2039,290000
2040,711000
2041,370000
2042,550000
2043,325000
2044,670000
2045,385000
2046,114999
2047,200000
2048,600000
2049,265000
2050,155000
2051,900000
2052,180000
2053,200000
2054,300000
2055,650000
2056,267000
2057,450000
2058,400000
2059,310000
2060,675000
2061,350000
2062,240000
2063,185000
2064,250000
2065,135000
2066,500000
2067,300000
2068,328000
2069,509999
2070,575000
2071,700000
2072,105000
2073,112999
2074,229999
2075,325000
2076,650000
2077,570000
2078,525000
2079,350000
2080,250000
2081,300000
2082,650000
2083,500000
2084,220000
2085,650000
2086,819999
2087,645000
2088,780000
2089,215000
2090,114999
2091,120000
2092,250000
2093,200000
2094,380000
2095,560000
2096,575000
2097,620000
2098,525000
2099,635000
2100,650000
2101,550000
2102,145000
2103,130000
2104,825000
2105,875000
2106,650000
2107,246000
2108,325000
2109,850000
2110,560000
2111,575000
2112,221000
2113,680000
2114,700000
2115,875000
2116,850000
2117,550000
2118,480000
2119,1050000
2120,631000
2121,165000
2122,320000
2123,360000
2124,175000
2125,725000
2126,325000
2127,320000
2128,500000
2129,350000
2130,470000
2131,125000
2132,140000
2133,484999
2134,308000
2135,570000
2136,680000
2137,700000
2138,240000
2139,280000
2140,125000
2141,400000
2142,850000
2143,475000
2144,150000
2145,1100000
2146,285000
2147,650000
2148,275000
2149,229999
2150,300000
2151,940000
2152,600000
2153,800000
2154,580000
2155,450000
2156,290000
2157,530000
2158,960000
2159,290000
2160,160000
2161,400000
2162,700000
2163,361000
2164,390000
2165,500000
2166,200000
2167,680000
2168,235000
2169,630000
2170,640000
2171,355000
2172,560000
2173,580000
2174,185000
2175,660000
2176,220000
2177,150000
2178,484999
2179,509999
2180,515000
2181,350000
2182,375000
2183,950000
2184,615000
2185,275000
2186,400000
2187,930000
2188,310000
2189,356000
2190,500000
2191,409999
2192,980000
2193,150000
2194,500000
2195,200000
2196,370000
2197,450000
2198,486000
2199,242000
2200,580000
2201,500000
2202,300000
2203,710000
2204,220000
2205,835000
2206,250000
2207,600000
2208,459999
2209,275000
2210,408000
2211,375000
2212,94500
2213,300000
2214,350000
2215,975000
2216,600000
2217,640000
2218,570000
2219,451999
2220,240000
2221,680000
2222,350000
2223,360000
2224,250000
2225,550000
2226,180000
2227,425000
2228,409999
2229,438999
2230,225000
2231,580000
2232,200000
2233,250000
2234,300000
2235,409999
2236,350000
2237,310000
2238,135000
2239,220000
2240,570000
2241,500000
2242,875000
2243,210000
2244,210000
2245,200000
2246,700000
2247,550000
2248,420000
2249,210000
2250,175000
2251,180000
2252,118000
2253,170000
2254,120000
2255,170000
2256,700000
2257,500000
2258,105000
2259,425000
2260,625000
2261,640000
2262,180000
2263,155000
2264,250000
2265,1000000
2266,350000
2267,740000
2268,300000
2269,550000
2270,710000
2271,700000
2272,550000
2273,375000
2274,600000
2275,380000
2276,475000
2277,200000
2278,350000
2279,911999
2280,650000
2281,350000
2282,190000
2283,850000
2284,350000
2285,180000
2286,200000
2287,229999
2288,135000
2289,425000
2290,480000
2291,455000
2292,320000
2293,830000
2294,470000
2295,1100000
2296,325000
2297,215000
2298,560000
2299,400000
2300,725000
2301,325000
2302,229999
2303,400000
2304,449000
2305,455000
2306,1150000
2307,650000
2308,950000
2309,698000
2310,975000
2311,445000
2312,539000
2313,350000
2314,550000
2315,330000
2316,220000
2317,415000
2318,150000
2319,150000
2320,240000
2321,170000
2322,550000
2323,500000
2324,180000
2325,360000
2326,400000
2327,120000
2328,765000
2329,919999
2330,730000
2331,320000
2332,455000
2333,350000
2334,509999
2335,175000
2336,120000
2337,300000
2338,500000
2339,562000
2340,250000
2341,484999
2342,280000
2343,571000
2344,400000
2345,295000
2346,250000
2347,610000
2348,175000
2349,204999
2350,750000
2351,589000
2352,445000
2353,445000
2354,450000
2355,450000
2356,200000
2357,819999
2358,825000
2359,599000
2360,490000
2361,500000
2362,1100000
2363,570000
2364,455000
2365,165000
2366,925000
2367,215000
2368,470000
2369,470000
2370,650000
2371,900000
2372,190000
2373,715000
2374,227999
2375,200000
2376,400000
2377,725000
2378,300000
2379,1151000
2380,225000
2381,380000
2382,351000
2383,199000
2384,850000
2385,105000
2386,300000
2387,950000
2388,430000
2389,540000
2390,175000
2391,1150000
2392,690000
2393,535000
2394,730000
2395,280000
2396,650000
2397,360000
2398,575000
2399,170000
2400,711000
2401,250000
2402,675000
2403,325000
2404,250000
2405,740000
2406,800000
2407,425000
2408,910000
2409,325000
2410,500000
2411,300000
2412,160000
2413,210000
2414,850000
2415,880000
2416,150000
2417,775000
2418,160000
2419,220000
2420,670000
2421,780000
2422,515000
2423,800000
2424,850000
2425,200000
2426,140000
2427,800000
2428,250000
2429,800000
2430,600000
2431,250000
2432,500000
2433,650000
2434,950000
2435,580000
2436,640000
2437,800000
2438,347000
2439,1000000
2440,300000
2441,493000
2442,370000
2443,250000
2444,300000
2445,450000
2446,185000
2447,1000000
2448,600000
2449,1100000
2450,360000
2451,285000
2452,350000
2453,130000
2454,350000
2455,685000
2456,525000
2457,765000
2458,450000
2459,390000
2460,940000
2461,650000
2462,320000
2463,145000
2464,670000
2465,350000
2466,300000
2467,300000
2468,810000
2469,90000
2470,100000
2471,90000
2472,459999
2473,250000
2474,300000
2475,130000
2476,199000
2477,545000
2478,570000
2479,150000
2480,114999
2481,450000
2482,610000
2483,690000
2484,790000
2485,254999
2486,500000
